# Harris V band filter throughput file
# From KPNO filter throughput collection
# wavelength(nm) Throughput(0-1)
300 -5e-05
300.1 -4.5e-05
300.2 -4e-05
300.3 -3.5e-05
300.4 -3e-05
300.5 -2.5e-05
300.6 -2e-05
300.7 -1.5e-05
300.8 -1e-05
300.9 -5e-06
301 0.0
301.1 0.0
301.2 0.0
301.3 0.0
301.4 0.0
301.5 0.0
301.6 0.0
301.7 0.0
301.8 0.0
301.9 0.0
302 0.0
302.1 0.0
302.2 0.0
302.3 0.0
302.4 0.0
302.5 0.0
302.6 0.0
302.7 0.0
302.8 0.0
302.9 0.0
303 0.0
303.1 -5e-06
303.2 -1e-05
303.3 -1.5e-05
303.4 -2e-05
303.5 -2.5e-05
303.6 -3e-05
303.7 -3.5e-05
303.8 -4e-05
303.9 -4.5e-05
304 -5e-05
304.1 -5e-05
304.2 -5e-05
304.3 -5e-05
304.4 -5e-05
304.5 -5e-05
304.6 -5e-05
304.7 -5e-05
304.8 -5e-05
304.9 -5e-05
305 -5e-05
305.1 -4.5e-05
305.2 -4e-05
305.3 -3.5e-05
305.4 -3e-05
305.5 -2.5e-05
305.6 -2e-05
305.7 -1.5e-05
305.8 -1e-05
305.9 -5e-06
306 0.0
306.1 0.0
306.2 0.0
306.3 0.0
306.4 0.0
306.5 0.0
306.6 0.0
306.7 0.0
306.8 0.0
306.9 0.0
307 0.0
307.1 0.0
307.2 0.0
307.3 0.0
307.4 0.0
307.5 0.0
307.6 0.0
307.7 0.0
307.8 0.0
307.9 0.0
308 0.0
308.1 -5e-06
308.2 -1e-05
308.3 -1.5e-05
308.4 -2e-05
308.5 -2.5e-05
308.6 -3e-05
308.7 -3.5e-05
308.8 -4e-05
308.9 -4.5e-05
309 -5e-05
309.1 -5e-05
309.2 -5e-05
309.3 -5e-05
309.4 -5e-05
309.5 -5e-05
309.6 -5e-05
309.7 -5e-05
309.8 -5e-05
309.9 -5e-05
310 -5e-05
310.1 -5e-05
310.2 -5e-05
310.3 -5e-05
310.4 -5e-05
310.5 -5e-05
310.6 -5e-05
310.7 -5e-05
310.8 -5e-05
310.9 -5e-05
311 -5e-05
311.1 -5e-05
311.2 -5e-05
311.3 -5e-05
311.4 -5e-05
311.5 -5e-05
311.6 -5e-05
311.7 -5e-05
311.8 -5e-05
311.9 -5e-05
312 -5e-05
312.1 -5e-05
312.2 -5e-05
312.3 -5e-05
312.4 -5e-05
312.5 -5e-05
312.6 -5e-05
312.7 -5e-05
312.8 -5e-05
312.9 -5e-05
313 -5e-05
313.1 -5e-05
313.2 -5e-05
313.3 -5e-05
313.4 -5e-05
313.5 -5e-05
313.6 -5e-05
313.7 -5e-05
313.8 -5e-05
313.9 -5e-05
314 -5e-05
314.1 -4.5e-05
314.2 -4e-05
314.3 -3.5e-05
314.4 -3e-05
314.5 -2.5e-05
314.6 -2e-05
314.7 -1.5e-05
314.8 -1e-05
314.9 -5e-06
315 0.0
315.1 0.0
315.2 0.0
315.3 0.0
315.4 0.0
315.5 0.0
315.6 0.0
315.7 0.0
315.8 0.0
315.9 0.0
316 0.0
316.1 0.0
316.2 0.0
316.3 0.0
316.4 0.0
316.5 0.0
316.6 0.0
316.7 0.0
316.8 0.0
316.9 0.0
317 0.0
317.1 -2e-05
317.2 -4e-05
317.3 -6e-05
317.4 -8e-05
317.5 -0.0001
317.6 -0.00012
317.7 -0.00014
317.8 -0.00016
317.9 -0.00018
318 -0.0002
318.1 -0.000215
318.2 -0.00023
318.3 -0.000245
318.4 -0.00026
318.5 -0.000275
318.6 -0.00029
318.7 -0.000305
318.8 -0.00032
318.9 -0.000335
319 -0.00035
319.1 -0.00032
319.2 -0.00029
319.3 -0.00026
319.4 -0.00023
319.5 -0.0002
319.6 -0.00017
319.7 -0.00014
319.8 -0.00011
319.9 -8e-05
320 -5e-05
320.1 -5e-05
320.2 -5e-05
320.3 -5e-05
320.4 -5e-05
320.5 -5e-05
320.6 -5e-05
320.7 -5e-05
320.8 -5e-05
320.9 -5e-05
321 -5e-05
321.1 -5e-05
321.2 -5e-05
321.3 -5e-05
321.4 -5e-05
321.5 -5e-05
321.6 -5e-05
321.7 -5e-05
321.8 -5e-05
321.9 -5e-05
322 -5e-05
322.1 -5e-05
322.2 -5e-05
322.3 -5e-05
322.4 -5e-05
322.5 -5e-05
322.6 -5e-05
322.7 -5e-05
322.8 -5e-05
322.9 -5e-05
323 -5e-05
323.1 -5e-05
323.2 -5e-05
323.3 -5e-05
323.4 -5e-05
323.5 -5e-05
323.6 -5e-05
323.7 -5e-05
323.8 -5e-05
323.9 -5e-05
324 -5e-05
324.1 -5e-05
324.2 -5e-05
324.3 -5e-05
324.4 -5e-05
324.5 -5e-05
324.6 -5e-05
324.7 -5e-05
324.8 -5e-05
324.9 -5e-05
325 -5e-05
325.1 -4.5e-05
325.2 -4e-05
325.3 -3.5e-05
325.4 -3e-05
325.5 -2.5e-05
325.6 -2e-05
325.7 -1.5e-05
325.8 -1e-05
325.9 -5e-06
326 0.0
326.1 -5e-06
326.2 -1e-05
326.3 -1.5e-05
326.4 -2e-05
326.5 -2.5e-05
326.6 -3e-05
326.7 -3.5e-05
326.8 -4e-05
326.9 -4.5e-05
327 -5e-05
327.1 -4.5e-05
327.2 -4e-05
327.3 -3.5e-05
327.4 -3e-05
327.5 -2.5e-05
327.6 -2e-05
327.7 -1.5e-05
327.8 -1e-05
327.9 -5e-06
328 0.0
328.1 0.0
328.2 0.0
328.3 0.0
328.4 0.0
328.5 0.0
328.6 0.0
328.7 0.0
328.8 0.0
328.9 0.0
329 0.0
329.1 0.0
329.2 0.0
329.3 0.0
329.4 0.0
329.5 0.0
329.6 0.0
329.7 0.0
329.8 0.0
329.9 0.0
330 0.0
330.1 0.0
330.2 0.0
330.3 0.0
330.4 0.0
330.5 0.0
330.6 0.0
330.7 0.0
330.8 0.0
330.9 0.0
331 0.0
331.1 0.0
331.2 0.0
331.3 0.0
331.4 0.0
331.5 0.0
331.6 0.0
331.7 0.0
331.8 0.0
331.9 0.0
332 0.0
332.1 0.0
332.2 0.0
332.3 0.0
332.4 0.0
332.5 0.0
332.6 0.0
332.7 0.0
332.8 0.0
332.9 0.0
333 0.0
333.1 0.0
333.2 0.0
333.3 0.0
333.4 0.0
333.5 0.0
333.6 0.0
333.7 0.0
333.8 0.0
333.9 0.0
334 0.0
334.1 0.0
334.2 0.0
334.3 0.0
334.4 0.0
334.5 0.0
334.6 0.0
334.7 0.0
334.8 0.0
334.9 0.0
335 0.0
335.1 0.0
335.2 0.0
335.3 0.0
335.4 0.0
335.5 0.0
335.6 0.0
335.7 0.0
335.8 0.0
335.9 0.0
336 0.0
336.1 0.0
336.2 0.0
336.3 0.0
336.4 0.0
336.5 0.0
336.6 0.0
336.7 0.0
336.8 0.0
336.9 0.0
337 0.0
337.1 -5e-06
337.2 -1e-05
337.3 -1.5e-05
337.4 -2e-05
337.5 -2.5e-05
337.6 -3e-05
337.7 -3.5e-05
337.8 -4e-05
337.9 -4.5e-05
338 -5e-05
338.1 -5e-05
338.2 -5e-05
338.3 -5e-05
338.4 -5e-05
338.5 -5e-05
338.6 -5e-05
338.7 -5e-05
338.8 -5e-05
338.9 -5e-05
339 -5e-05
339.1 -5e-05
339.2 -5e-05
339.3 -5e-05
339.4 -5e-05
339.5 -5e-05
339.6 -5e-05
339.7 -5e-05
339.8 -5e-05
339.9 -5e-05
340 -5e-05
340.1 -4.5e-05
340.2 -4e-05
340.3 -3.5e-05
340.4 -3e-05
340.5 -2.5e-05
340.6 -2e-05
340.7 -1.5e-05
340.8 -1e-05
340.9 -5e-06
341 0.0
341.1 -5e-06
341.2 -1e-05
341.3 -1.5e-05
341.4 -2e-05
341.5 -2.5e-05
341.6 -3e-05
341.7 -3.5e-05
341.8 -4e-05
341.9 -4.5e-05
342 -5e-05
342.1 -4.5e-05
342.2 -4e-05
342.3 -3.5e-05
342.4 -3e-05
342.5 -2.5e-05
342.6 -2e-05
342.7 -1.5e-05
342.8 -1e-05
342.9 -5e-06
343 0.0
343.1 0.0
343.2 0.0
343.3 0.0
343.4 0.0
343.5 0.0
343.6 0.0
343.7 0.0
343.8 0.0
343.9 0.0
344 0.0
344.1 0.0
344.2 0.0
344.3 0.0
344.4 0.0
344.5 0.0
344.6 0.0
344.7 0.0
344.8 0.0
344.9 0.0
345 0.0
345.1 0.0
345.2 0.0
345.3 0.0
345.4 0.0
345.5 0.0
345.6 0.0
345.7 0.0
345.8 0.0
345.9 0.0
346 0.0
346.1 0.0
346.2 0.0
346.3 0.0
346.4 0.0
346.5 0.0
346.6 0.0
346.7 0.0
346.8 0.0
346.9 0.0
347 0.0
347.1 0.0
347.2 0.0
347.3 0.0
347.4 0.0
347.5 0.0
347.6 0.0
347.7 0.0
347.8 0.0
347.9 0.0
348 0.0
348.1 -5e-06
348.2 -1e-05
348.3 -1.5e-05
348.4 -2e-05
348.5 -2.5e-05
348.6 -3e-05
348.7 -3.5e-05
348.8 -4e-05
348.9 -4.5e-05
349 -5e-05
349.1 -4.5e-05
349.2 -4e-05
349.3 -3.5e-05
349.4 -3e-05
349.5 -2.5e-05
349.6 -2e-05
349.7 -1.5e-05
349.8 -1e-05
349.9 -5e-06
350 0.0
350.1 0.0
350.2 0.0
350.3 0.0
350.4 0.0
350.5 0.0
350.6 0.0
350.7 0.0
350.8 0.0
350.9 0.0
351 0.0
351.1 0.0
351.2 0.0
351.3 0.0
351.4 0.0
351.5 0.0
351.6 0.0
351.7 0.0
351.8 0.0
351.9 0.0
352 0.0
352.1 0.0
352.2 0.0
352.3 0.0
352.4 0.0
352.5 0.0
352.6 0.0
352.7 0.0
352.8 0.0
352.9 0.0
353 0.0
353.1 0.0
353.2 0.0
353.3 0.0
353.4 0.0
353.5 0.0
353.6 0.0
353.7 0.0
353.8 0.0
353.9 0.0
354 0.0
354.1 0.0
354.2 0.0
354.3 0.0
354.4 0.0
354.5 0.0
354.6 0.0
354.7 0.0
354.8 0.0
354.9 0.0
355 0.0
355.1 0.0
355.2 0.0
355.3 0.0
355.4 0.0
355.5 0.0
355.6 0.0
355.7 0.0
355.8 0.0
355.9 0.0
356 0.0
356.1 -5e-06
356.2 -1e-05
356.3 -1.5e-05
356.4 -2e-05
356.5 -2.5e-05
356.6 -3e-05
356.7 -3.5e-05
356.8 -4e-05
356.9 -4.5e-05
357 -5e-05
357.1 -4.5e-05
357.2 -4e-05
357.3 -3.5e-05
357.4 -3e-05
357.5 -2.5e-05
357.6 -2e-05
357.7 -1.5e-05
357.8 -1e-05
357.9 -5e-06
358 0.0
358.1 -5e-06
358.2 -1e-05
358.3 -1.5e-05
358.4 -2e-05
358.5 -2.5e-05
358.6 -3e-05
358.7 -3.5e-05
358.8 -4e-05
358.9 -4.5e-05
359 -5e-05
359.1 -5e-05
359.2 -5e-05
359.3 -5e-05
359.4 -5e-05
359.5 -5e-05
359.6 -5e-05
359.7 -5e-05
359.8 -5e-05
359.9 -5e-05
360 -5e-05
360.1 -4.5e-05
360.2 -4e-05
360.3 -3.5e-05
360.4 -3e-05
360.5 -2.5e-05
360.6 -2e-05
360.7 -1.5e-05
360.8 -1e-05
360.9 -5e-06
361 0.0
361.1 0.0
361.2 0.0
361.3 0.0
361.4 0.0
361.5 0.0
361.6 0.0
361.7 0.0
361.8 0.0
361.9 0.0
362 0.0
362.1 0.0
362.2 0.0
362.3 0.0
362.4 0.0
362.5 0.0
362.6 0.0
362.7 0.0
362.8 0.0
362.9 0.0
363 0.0
363.1 0.0
363.2 0.0
363.3 0.0
363.4 0.0
363.5 0.0
363.6 0.0
363.7 0.0
363.8 0.0
363.9 0.0
364 0.0
364.1 0.0
364.2 0.0
364.3 0.0
364.4 0.0
364.5 0.0
364.6 0.0
364.7 0.0
364.8 0.0
364.9 0.0
365 0.0
365.1 0.0
365.2 0.0
365.3 0.0
365.4 0.0
365.5 0.0
365.6 0.0
365.7 0.0
365.8 0.0
365.9 0.0
366 0.0
366.1 0.0
366.2 0.0
366.3 0.0
366.4 0.0
366.5 0.0
366.6 0.0
366.7 0.0
366.8 0.0
366.9 0.0
367 0.0
367.1 0.0
367.2 0.0
367.3 0.0
367.4 0.0
367.5 0.0
367.6 0.0
367.7 0.0
367.8 0.0
367.9 0.0
368 0.0
368.1 0.0
368.2 0.0
368.3 0.0
368.4 0.0
368.5 0.0
368.6 0.0
368.7 0.0
368.8 0.0
368.9 0.0
369 0.0
369.1 0.0
369.2 0.0
369.3 0.0
369.4 0.0
369.5 0.0
369.6 0.0
369.7 0.0
369.8 0.0
369.9 0.0
370 0.0
370.1 0.0
370.2 0.0
370.3 0.0
370.4 0.0
370.5 0.0
370.6 0.0
370.7 0.0
370.8 0.0
370.9 0.0
371 0.0
371.1 0.0
371.2 0.0
371.3 0.0
371.4 0.0
371.5 0.0
371.6 0.0
371.7 0.0
371.8 0.0
371.9 0.0
372 0.0
372.1 0.0
372.2 0.0
372.3 0.0
372.4 0.0
372.5 0.0
372.6 0.0
372.7 0.0
372.8 0.0
372.9 0.0
373 0.0
373.1 0.0
373.2 0.0
373.3 0.0
373.4 0.0
373.5 0.0
373.6 0.0
373.7 0.0
373.8 0.0
373.9 0.0
374 0.0
374.1 0.0
374.2 0.0
374.3 0.0
374.4 0.0
374.5 0.0
374.6 0.0
374.7 0.0
374.8 0.0
374.9 0.0
375 0.0
375.1 0.0
375.2 0.0
375.3 0.0
375.4 0.0
375.5 0.0
375.6 0.0
375.7 0.0
375.8 0.0
375.9 0.0
376 0.0
376.1 -5e-06
376.2 -1e-05
376.3 -1.5e-05
376.4 -2e-05
376.5 -2.5e-05
376.6 -3e-05
376.7 -3.5e-05
376.8 -4e-05
376.9 -4.5e-05
377 -5e-05
377.1 -5.5e-05
377.2 -6e-05
377.3 -6.5e-05
377.4 -7e-05
377.5 -7.5e-05
377.6 -8e-05
377.7 -8.5e-05
377.8 -9e-05
377.9 -9.5e-05
378 -0.0001
378.1 -9.5e-05
378.2 -9e-05
378.3 -8.5e-05
378.4 -8e-05
378.5 -7.5e-05
378.6 -7e-05
378.7 -6.5e-05
378.8 -6e-05
378.9 -5.5e-05
379 -5e-05
379.1 -4.5e-05
379.2 -4e-05
379.3 -3.5e-05
379.4 -3e-05
379.5 -2.5e-05
379.6 -2e-05
379.7 -1.5e-05
379.8 -1e-05
379.9 -5e-06
380 0.0
380.1 0.0
380.2 0.0
380.3 0.0
380.4 0.0
380.5 0.0
380.6 0.0
380.7 0.0
380.8 0.0
380.9 0.0
381 0.0
381.1 0.0
381.2 0.0
381.3 0.0
381.4 0.0
381.5 0.0
381.6 0.0
381.7 0.0
381.8 0.0
381.9 0.0
382 0.0
382.1 0.0
382.2 0.0
382.3 0.0
382.4 0.0
382.5 0.0
382.6 0.0
382.7 0.0
382.8 0.0
382.9 0.0
383 0.0
383.1 0.0
383.2 0.0
383.3 0.0
383.4 0.0
